financial.quarterly_profits | financial.quarterly_revenues | all_employees.id | all_employees.name | all_employees.active | all_employees.active_direct_reports | all_employees.enumx | all_employees.enumy | founded | board_of_directors
--------------------------- | ---------------------------- | ---------------- | ------------------ | -------------------- | ----------------------------------- | ------------------- | ------------------- | ------- | ------------------
1.322423                    | 1.989245                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y1            | 1       | 1                 
1.322423                    | 2.274987                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y1            | 1       | 1                 
2.432427                    | 1.989245                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y1            | 1       | 1                 
2.432427                    | 2.274987                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y1            | 1       | 1                 
1.322423                    | 1.989245                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y1            | 1       | 2                 
1.322423                    | 2.274987                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y1            | 1       | 2                 
2.432427                    | 1.989245                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y1            | 1       | 2                 
2.432427                    | 2.274987                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y1            | 1       | 2                 
1.322423                    | 1.989245                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y2            | 1       | 1                 
1.322423                    | 2.274987                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y2            | 1       | 1                 
2.432427                    | 1.989245                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y2            | 1       | 1                 
2.432427                    | 2.274987                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y2            | 1       | 1                 
1.322423                    | 1.989245                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y2            | 1       | 2                 
1.322423                    | 2.274987                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y2            | 1       | 2                 
2.432427                    | 1.989245                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y2            | 1       | 2                 
2.432427                    | 2.274987                     | 1                | abc                | false                | NULL                                | ENUMX_X1            | ENUMY_Y2            | 1       | 2                 
1.322423                    | 1.989245                     | 2                | def                | true                 | 1                                   | NULL                | ENUMY_Y1            | 1       | 1                 
1.322423                    | 2.274987                     | 2                | def                | true                 | 1                                   | NULL                | ENUMY_Y1            | 1       | 1                 
2.432427                    | 1.989245                     | 2                | def                | true                 | 1                                   | NULL                | ENUMY_Y1            | 1       | 1                 
2.432427                    | 2.274987                     | 2                | def                | true                 | 1                                   | NULL                | ENUMY_Y1            | 1       | 1                 
1.322423                    | 1.989245                     | 2                | def                | true                 | 1                                   | NULL                | ENUMY_Y1            | 1       | 2                 
1.322423                    | 2.274987                     | 2                | def                | true                 | 1                                   | NULL                | ENUMY_Y1            | 1       | 2                 
2.432427                    | 1.989245                     | 2                | def                | true                 | 1                                   | NULL                | ENUMY_Y1            | 1       | 2                 
2.432427                    | 2.274987                     | 2                | def                | true                 | 1                                   | NULL                | ENUMY_Y1            | 1       | 2                 
1.322423                    | 1.989245                     | 2                | def                | true                 | 2                                   | NULL                | ENUMY_Y1            | 1       | 1                 
1.322423                    | 2.274987                     | 2                | def                | true                 | 2                                   | NULL                | ENUMY_Y1            | 1       | 1                 
2.432427                    | 1.989245                     | 2                | def                | true                 | 2                                   | NULL                | ENUMY_Y1            | 1       | 1                 
2.432427                    | 2.274987                     | 2                | def                | true                 | 2                                   | NULL                | ENUMY_Y1            | 1       | 1                 
1.322423                    | 1.989245                     | 2                | def                | true                 | 2                                   | NULL                | ENUMY_Y1            | 1       | 2                 
1.322423                    | 2.274987                     | 2                | def                | true                 | 2                                   | NULL                | ENUMY_Y1            | 1       | 2                 
2.432427                    | 1.989245                     | 2                | def                | true                 | 2                                   | NULL                | ENUMY_Y1            | 1       | 2                 
2.432427                    | 2.274987                     | 2                | def                | true                 | 2                                   | NULL                | ENUMY_Y1            | 1       | 2                 
