financial.quarterly_profits | financial.quarterly_revenues | all_employees.id | all_employees.name | all_employees.active | all_employees.active_direct_reports | founded | board_of_directors
--------------------------- | ---------------------------- | ---------------- | ------------------ | -------------------- | ----------------------------------- | ------- | ------------------
1.000000                    | 1.000000                     | 1                | abc                | false                | NULL                                | 1       | 1                 
1.000000                    | 1.000000                     | 2                | def                | true                 | 1                                   | 1       | 1                 
1.000000                    | 1.000000                     | 2                | def                | true                 | 2                                   | 1       | 1                 
1.000000                    | 2.000000                     | 1                | abc                | false                | NULL                                | 1       | 1                 
1.000000                    | 2.000000                     | 2                | def                | true                 | 1                                   | 1       | 1                 
1.000000                    | 2.000000                     | 2                | def                | true                 | 2                                   | 1       | 1                 
2.000000                    | 1.000000                     | 1                | abc                | false                | NULL                                | 1       | 1                 
2.000000                    | 1.000000                     | 2                | def                | true                 | 1                                   | 1       | 1                 
2.000000                    | 1.000000                     | 2                | def                | true                 | 2                                   | 1       | 1                 
2.000000                    | 2.000000                     | 1                | abc                | false                | NULL                                | 1       | 1                 
2.000000                    | 2.000000                     | 2                | def                | true                 | 1                                   | 1       | 1                 
2.000000                    | 2.000000                     | 2                | def                | true                 | 2                                   | 1       | 1                 
1.000000                    | 1.000000                     | 1                | abc                | false                | NULL                                | 1       | 2                 
1.000000                    | 1.000000                     | 2                | def                | true                 | 1                                   | 1       | 2                 
1.000000                    | 1.000000                     | 2                | def                | true                 | 2                                   | 1       | 2                 
1.000000                    | 2.000000                     | 1                | abc                | false                | NULL                                | 1       | 2                 
1.000000                    | 2.000000                     | 2                | def                | true                 | 1                                   | 1       | 2                 
1.000000                    | 2.000000                     | 2                | def                | true                 | 2                                   | 1       | 2                 
2.000000                    | 1.000000                     | 1                | abc                | false                | NULL                                | 1       | 2                 
2.000000                    | 1.000000                     | 2                | def                | true                 | 1                                   | 1       | 2                 
2.000000                    | 1.000000                     | 2                | def                | true                 | 2                                   | 1       | 2                 
2.000000                    | 2.000000                     | 1                | abc                | false                | NULL                                | 1       | 2                 
2.000000                    | 2.000000                     | 2                | def                | true                 | 1                                   | 1       | 2                 
2.000000                    | 2.000000                     | 2                | def                | true                 | 2                                   | 1       | 2                 
